14.7, 100, 200, 300, 400, 500, 600, 700, 800, 900, 1000
0.1,1,2,3,4,5,6,7,8,10,15,20,25,30,40,50
   t           gam         m           rho         
   2.4543E+03  1.2689E+00  2.8616E+01  7.8359E-02
   2.9076E+03  1.2602E+00  2.8915E+01  8.2463E-01
   2.5705E+03  1.2638E+00  2.8915E+01  5.1516E-01
   2.9476E+03  1.2586E+00  2.9011E+01  1.6323E+00
   2.6076E+03  1.2622E+00  2.9011E+01  1.0196E+00
   2.9693E+03  1.2578E+00  2.9064E+01  2.4350E+00
   2.6279E+03  1.2613E+00  2.9064E+01  1.5208E+00
   2.9840E+03  1.2573E+00  2.9100E+01  3.2347E+00
   2.6415E+03  1.2607E+00  2.9100E+01  2.0202E+00
   2.9949E+03  1.2568E+00  2.9126E+01  4.0323E+00
   2.6517E+03  1.2603E+00  2.9126E+01  2.5182E+00
   3.0035E+03  1.2565E+00  2.9147E+01  4.8284E+00
   2.6597E+03  1.2600E+00  2.9147E+01  3.0152E+00
   3.0106E+03  1.2562E+00  2.9165E+01  5.6232E+00
   2.6663E+03  1.2597E+00  2.9165E+01  3.5115E+00
   3.0165E+03  1.2560E+00  2.9179E+01  6.4170E+00
   2.6718E+03  1.2594E+00  2.9179E+01  4.0071E+00
   3.0217E+03  1.2558E+00  2.9192E+01  7.2100E+00
   2.6766E+03  1.2592E+00  2.9192E+01  4.5022E+00
   3.0262E+03  1.2556E+00  2.9203E+01  8.0023E+00
   2.6808E+03  1.2590E+00  2.9203E+01  4.9968E+00
   2.6658E+03  1.2679E+00  2.8963E+01  1.3244E-01
   2.3484E+03  1.2720E+00  2.8963E+01  8.2800E-02
   2.7538E+03  1.2644E+00  2.9172E+01  8.7846E-01
   2.4298E+03  1.2683E+00  2.9172E+01  5.4901E-01
   2.7792E+03  1.2634E+00  2.9233E+01  1.7445E+00
   2.4533E+03  1.2672E+00  2.9233E+01  1.0901E+00
   2.7924E+03  1.2629E+00  2.9265E+01  2.6071E+00
   2.4656E+03  1.2667E+00  2.9265E+01  1.6291E+00
   2.8011E+03  1.2625E+00  2.9286E+01  3.4679E+00
   2.4736E+03  1.2663E+00  2.9286E+01  2.1669E+00
   2.8074E+03  1.2623E+00  2.9301E+01  4.3274E+00
   2.4795E+03  1.2661E+00  2.9301E+01  2.7039E+00
   2.8123E+03  1.2621E+00  2.9313E+01  5.1859E+00
   2.4840E+03  1.2659E+00  2.9313E+01  3.2403E+00
   2.8163E+03  1.2619E+00  2.9322E+01  6.0436E+00
   2.4877E+03  1.2657E+00  2.9322E+01  3.7762E+00
   2.8196E+03  1.2618E+00  2.9330E+01  6.9008E+00
   2.4908E+03  1.2656E+00  2.9330E+01  4.3117E+00
   2.8224E+03  1.2617E+00  2.9337E+01  7.7575E+00
   2.4934E+03  1.2655E+00  2.9337E+01  4.8469E+00
   2.8249E+03  1.2616E+00  2.9343E+01  8.6137E+00
   2.4957E+03  1.2653E+00  2.9343E+01  5.3818E+00
   2.5719E+03  1.2707E+00  2.9133E+01  1.3808E-01
   2.2628E+03  1.2750E+00  2.9133E+01  8.6349E-02
   2.6344E+03  1.2681E+00  2.9280E+01  9.2166E-01
   2.3204E+03  1.2723E+00  2.9280E+01  5.7623E-01
   2.6510E+03  1.2675E+00  2.9319E+01  1.8342E+00
   2.3358E+03  1.2716E+00  2.9319E+01  1.1467E+00
   2.6594E+03  1.2671E+00  2.9339E+01  2.7445E+00
   2.3436E+03  1.2712E+00  2.9339E+01  1.7157E+00
   2.6648E+03  1.2669E+00  2.9352E+01  3.6535E+00
   2.3486E+03  1.2710E+00  2.9352E+01  2.2839E+00
   2.6687E+03  1.2667E+00  2.9361E+01  4.5616E+00
   2.3522E+03  1.2708E+00  2.9361E+01  2.8516E+00
