time,pressure,thrust
3.415,276.951,2888.913
3.420,274.056,2846.705
3.425,265.371,2896.362
3.430,274.056,2896.362
3.435,272.126,2878.982
3.440,271.161,2849.188
3.445,272.126,2834.291
3.450,272.126,2851.671
3.455,272.126,2861.602
3.460,272.126,2829.325
3.465,270.196,2871.533
3.470,276.951,2869.051
3.475,276.951,2918.707
3.480,270.196,2893.879
3.485,270.196,2821.877
3.490,266.336,2826.842
3.495,271.161,2811.945
3.500,275.986,2836.774
3.505,274.056,2921.190
3.510,268.266,2784.634
3.515,268.266,2764.771
3.520,270.196,2826.842
3.525,265.371,2749.874
3.530,265.371,2725.046
3.535,272.126,2754.840
3.540,267.301,2814.428
3.545,272.126,2811.945
3.550,270.196,2826.842
3.555,269.231,2836.774
3.560,274.056,2799.531
3.565,265.371,2811.945
3.570,265.371,2846.705
3.575,267.301,2826.842
3.580,262.476,2819.394
3.585,258.616,2767.254
3.590,264.406,2757.323
3.595,265.371,2891.396
3.600,260.546,2789.600
3.605,266.336,2826.842
3.610,265.371,2893.879
3.615,265.371,2804.497
3.620,269.231,2896.362
3.625,266.336,2913.742
3.630,261.511,2797.048
3.635,263.441,2809.462
3.640,266.336,2851.671
3.645,262.476,2856.636
3.650,268.266,2816.911
3.655,264.406,2816.911
3.660,264.406,2836.774
3.665,261.511,2864.085
3.670,262.476,2839.256
3.675,268.266,2821.877
3.680,266.336,2883.948
3.685,270.196,2874.016
3.690,264.406,2821.877
3.695,258.616,2749.874
3.700,256.686,2677.872
3.705,266.336,2772.220
3.710,264.406,2856.636
3.715,256.686,2737.460
3.720,258.616,2702.700
3.725,258.616,2774.703
3.730,264.406,2797.048
3.735,260.546,2802.014
3.740,262.476,2705.183
3.745,257.651,2717.597
3.750,260.546,2802.014
3.755,262.476,2804.497
3.760,262.476,2881.465
3.765,261.511,2869.051
3.770,261.511,2816.911
3.775,260.546,2881.465
3.780,261.511,2826.842
3.785,258.616,2846.705
3.790,263.441,2779.668
3.795,257.651,2861.602
3.800,256.686,2784.634
3.805,256.686,2762.288
3.810,257.651,2819.394
3.815,256.686,2784.634
3.820,256.686,2754.840
3.825,252.826,2769.737
3.830,254.756,2727.528
3.835,256.686,2789.600
3.840,253.791,2752.357
3.845,252.826,2772.220
3.850,252.826,2752.357
3.855,252.826,2734.977
3.860,258.616,2787.117
3.865,256.686,2819.394
3.870,252.826,2734.977
3.875,256.686,2744.908
3.880,253.791,2846.705
3.885,256.686,2797.048
3.890,256.686,2881.465
3.895,256.686,2797.048
3.900,256.686,2772.220
3.905,250.896,2841.739
3.910,255.721,2816.911
3.915,256.686,2829.325
3.920,252.826,2752.357
3.925,258.616,2777.185
3.930,255.721,2918.707
3.935,254.756,2777.185
3.940,257.651,2802.014
3.945,260.546,2898.845
3.950,253.791,2841.739
3.955,254.756,2752.357
3.960,266.336,2824.359
3.965,256.686,2896.362
3.970,249.931,2814.428
3.975,252.826,2799.531
3.980,256.686,2829.325
3.985,256.686,2871.533
3.990,250.896,2787.117
3.995,249.931,2774.703
4.000,249.931,2806.979
4.005,250.896,2772.220
4.010,248.966,2759.805
4.015,249.931,2705.183
4.020,248.966,2720.080
4.025,245.106,2759.805
4.030,246.071,2665.457
4.035,249.931,2747.391
4.040,248.966,2797.048
4.045,256.686,2749.874
4.050,245.106,2754.840
4.055,245.106,2690.286
4.060,249.931,2722.563
4.065,245.106,2769.737
4.070,250.896,2653.043
4.075,249.931,2752.357
4.080,244.141,2730.011
4.085,245.106,2695.251
4.090,246.071,2737.460
4.095,246.071,2707.666
4.100,247.036,2742.426
4.105,248.966,2727.528
4.110,247.036,2804.497
4.115,245.106,2764.771
4.120,252.826,2695.251
4.125,250.896,2821.877
4.130,245.106,2789.600
4.135,242.211,2702.700
4.140,246.071,2650.560
4.145,250.896,2802.014
4.150,243.176,2789.600
4.155,239.316,2628.215
4.160,247.036,2720.080
4.165,252.826,2784.634
4.170,246.071,2814.428
4.175,242.211,2680.354
4.180,242.211,2725.046
4.185,249.931,2749.874
4.190,246.071,2811.945
4.195,245.106,2725.046
4.200,246.071,2700.217
4.205,243.176,2754.840
4.210,245.106,2762.288
4.215,247.036,2747.391
4.220,243.176,2715.114
4.225,248.966,2665.457
4.230,247.036,2814.428
4.235,245.106,2744.908
4.240,248.966,2764.771
4.245,248.966,2819.394
4.250,243.176,2712.631
4.255,247.036,2747.391
4.260,248.966,2789.600
4.265,239.316,2774.703
4.270,245.106,2662.975
4.275,243.176,2762.288
4.280,238.351,2712.631
4.285,242.211,2653.043
4.290,245.106,2752.357
4.295,251.861,2839.256
4.300,241.246,2814.428
4.305,239.316,2695.251
4.310,243.176,2690.286
4.315,245.106,2799.531
4.320,245.106,2777.185
4.325,245.106,2757.323
4.330,239.316,2732.494
4.335,241.246,2672.906
4.340,239.316,2752.357
4.345,239.316,2677.872
4.350,245.106,2707.666
4.355,244.141,2754.840
4.360,241.246,2784.634
4.365,243.176,2744.908
4.370,241.246,2744.908
4.375,244.141,2732.494
4.380,241.246,2777.185
4.385,243.176,2700.217
4.390,243.176,2727.528
4.395,241.246,2752.357
4.400,236.421,2730.011
4.405,241.246,2660.492
4.410,237.386,2722.563
4.415,245.106,2685.320
4.420,243.176,2816.911
4.425,240.281,2710.149
4.430,236.421,2682.837
4.435,241.246,2717.597
4.440,237.386,2690.286
4.445,238.351,2635.663
4.450,243.176,2667.940
4.455,241.246,2672.906
4.460,241.246,2660.492
4.465,241.246,2695.251
4.470,239.316,2648.077
4.475,236.421,2680.354
4.480,239.316,2655.526
4.485,241.246,2685.320
4.490,236.421,2667.940
4.495,229.666,2618.283
4.500,234.491,2697.734
4.505,240.281,2705.183
4.510,239.316,2710.149
4.515,240.281,2705.183
4.520,241.246,2660.492
4.525,236.421,2695.251
4.530,239.316,2717.597
4.535,238.351,2722.563
4.540,242.211,2722.563
4.545,238.351,2670.423
4.550,236.421,2645.595
4.555,236.421,2680.354
4.560,235.456,2707.666
4.565,234.491,2672.906
4.570,235.456,2640.629
4.575,240.281,2705.183
4.580,236.421,2717.597
4.585,231.596,2665.457
4.590,237.386,2618.283
4.595,238.351,2707.666
4.600,238.351,2700.217
4.605,230.631,2633.180
4.610,235.456,2680.354
4.615,234.491,2712.631
4.620,230.631,2710.149
4.625,235.456,2665.457
4.630,237.386,2692.769
4.635,237.386,2692.769
4.640,235.456,2667.940
4.645,233.526,2660.492
4.650,237.386,2685.320
4.655,233.526,2665.457
4.660,234.491,2682.837
4.665,229.666,2658.009
4.670,228.701,2581.041
4.675,227.736,2605.869
4.680,231.596,2598.421
4.685,230.631,2655.526
4.690,231.596,2588.489
4.695,230.631,2645.595
4.700,229.666,2623.249
4.705,238.351,2653.043
4.710,230.631,2687.803
4.715,233.526,2650.560
4.720,233.526,2675.389
4.725,229.666,2662.975
4.730,224.841,2568.626
4.735,230.631,2593.455
4.740,234.491,2660.492
4.745,233.526,2625.732
4.750,230.631,2697.734
4.755,233.526,2578.558
4.760,236.421,2712.631
4.765,227.736,2700.217
4.770,228.701,2548.764
4.775,230.631,2658.009
4.780,231.596,2685.320
4.785,230.631,2667.940
4.790,225.806,2625.732
4.795,227.736,2578.558
4.800,230.631,2650.560
4.805,239.316,2715.114
4.810,231.596,2605.869
4.815,227.736,2653.043
4.820,233.526,2692.769
4.825,228.701,2675.389
4.830,229.666,2638.146
4.835,225.806,2630.698
4.840,225.806,2588.489
4.845,229.666,2628.215
4.850,229.666,2695.251
4.855,223.876,2608.352
4.860,241.246,2598.421
4.865,225.806,2662.975
4.870,225.806,2595.938
4.875,221.946,2563.661
4.880,223.876,2603.386
4.885,221.946,2588.489
4.890,226.771,2590.972
4.895,222.911,2590.972
4.900,226.771,2531.384
4.905,231.596,2633.180
4.910,223.876,2613.318
4.915,223.876,2548.764
4.920,232.561,2600.903
4.925,223.876,2625.732
4.930,223.876,2538.832
4.935,225.806,2590.972
4.940,226.771,2620.766
4.945,220.982,2603.386
4.950,219.052,2528.901
4.955,222.911,2499.107
4.960,221.946,2605.869
4.965,225.806,2568.626
4.970,223.876,2581.041
4.975,222.911,2618.283
4.980,221.946,2581.041
4.985,221.946,2543.798
4.990,221.946,2583.524
4.995,220.017,2603.386
5.000,221.946,2553.729
5.005,216.157,2566.144
5.010,212.297,2509.038
5.015,221.946,2586.006
5.020,220.982,2633.180
5.025,221.946,2563.661
5.030,223.876,2578.558
5.035,227.736,2665.457
5.040,221.946,2628.215
5.045,221.946,2546.281
5.050,229.666,2603.386
5.055,221.946,2643.112
5.060,220.017,2605.869
5.065,226.771,2533.867
5.070,226.771,2677.872
5.075,221.946,2618.283
5.080,223.876,2586.006
5.085,219.052,2598.421
5.090,225.806,2573.592
5.095,221.946,2600.903
5.100,221.946,2610.835
5.105,220.017,2583.524
5.110,218.087,2590.972
5.115,219.052,2523.935
5.120,221.946,2541.315
5.125,225.806,2618.283
5.130,221.946,2598.421
5.135,215.192,2526.418
5.140,223.876,2499.107
5.145,219.052,2533.867
5.150,216.157,2523.935
5.155,219.052,2511.521
5.160,219.052,2571.109
5.165,216.157,2496.624
5.170,218.087,2551.247
5.175,219.052,2541.315
5.180,218.087,2531.384
5.185,212.297,2506.555
5.190,218.087,2479.244
5.195,212.297,2501.590
5.200,213.262,2471.796
5.205,212.297,2417.173
5.210,206.507,2427.104
5.215,206.507,2347.653
5.220,206.507,2377.447
5.225,211.332,2389.862
5.230,202.647,2337.722
5.235,200.717,2325.308
5.240,197.822,2305.445
5.245,196.857,2243.374
5.250,194.927,2250.822
5.255,198.787,2258.271
5.260,201.682,2225.994
5.265,193.962,2208.614
5.270,192.997,2206.131
5.275,187.207,2181.303
5.280,188.172,2099.369
5.285,191.067,2144.060
5.290,191.067,2158.957
5.295,192.997,2106.817
5.300,182.382,2109.300
5.305,186.242,2039.781
5.310,184.312,2114.266
5.315,182.382,2069.575
5.320,180.452,1965.295
5.325,178.522,2012.469
5.330,187.207,2007.504
5.335,177.557,2022.401
5.340,178.522,2000.055
5.345,176.592,1980.192
5.350,174.662,1995.089
5.355,177.557,1940.467
5.360,172.732,1960.330
5.365,171.767,1890.810
